id_pregunta,pregunta,base_legal,opción_a,respuesta_a,opción_b,respuesta_b,opción_c,respuesta_c,opción_d,respuesta_d;;;;;;;;
"P021,""Usted presenta un testimonio al Registro de la Propiedad Raíz e Hipotecas para su inscripción, y se lo observan porque no están sellados cada uno de los folios de que se compone  y usted les expresa:"",,Esta de acuerdo con la observación y sella cada uno de los folios,0.0,""No esta de acuerdo, pero los sella porque en todo caso ellos son los expertos en el tema"",0.0,No esta de acuerdo y por ello les dice que la Ley de Notariado expresa que terminarán con una razón firmada y sellada por el Notario,1.0,""Que la costumbre la han hecho ley, ya que algunos notarios los presentan sellados en cada folio"",0.0";;;;;;;;
"P022,""En un curso de Derecho Notarial que usted acaba de hacer, le preguntaron sobre la Resciliación, y usted, al respecto, expresó:"",,Que se encuentra regulada en el Código Civil y que aplica a todos los contratos,0.0,Que la resciliación es aplicable solamente a los contratos de ejecución instantánea,0.0,Que la Resciliación es los mismo que la resolución de los contratos,0.0,""Que la resciliación únicamente aplica para aquellos contratos de tracto sucesivo, como el arrendamiento, con obligaciones pendientes"",1.0 ";;;;;;;;
P023,Que debe proceder a la protocolización del laudo arbitral ya que se trata de un arbitraje ad-hoc y los honorarios deben ser pagados por ambas partes.,,Que debe proceder a la protocolización del laudo arbitral ya que se trata de un arbitraje ad-hoc y los honorarios deben ser pagados por ambas partes.,1.0,Que el laudo arbitral se debe asentar en acta notarial y de esta manera tendrá validez legal.,0.0,Que el laudo arbitral se hace constar en papel simple ya que lo que le da valor legal es que está firmado por los árbitros.,0.0,Que el laudo arbitral debe ser ratificado por la Cámara con competencia en lo civil y mercantil de la localidad en la que se emitió el laudo.,0.0 ;;;;;;;;
"P024,""Un amigo suyo, que recientemente ha iniciado su negocio de prestar sus servicios profesionales como chef, le comenta que le están vendiendo una base de datos personales de 1,000 personas en soporte electrónico, por lo que le pide que le formalice notarialmente el contrato de venta por el que pagará el precio de $400  a lo que usted le aconseja lo siguiente:"",,Que se autorice la venta a través de un contrato privado autenticado.,0.0,Que se autorice la venta a través de escritura pública,0.0,Que no es posible autorizar la venta de una base de datos como la que se pretende comprar porque violenta la protección de datos personales y en general el derecho a la intimidad de las personas que allí aparecen.,1.0,Que la venta de una base de datos se puede realizar a través de un instrumento privado.,0.0 ";;;;;;;;
P025,Un cliente le pide a usted que le oriente acerca de cómo distinguir entre un activo digital y un título valor electrónico para documentar las operaciones de sus negocios. Usted le responde:,,Que activos digitales y títulos valores electrónicos son exactamente lo mismo.,0.0,Que los activos digitales son una especie de títulos valores electrónicos.,0.0,Que las criptomonedas solo pueden ser títulos valores electrónicos y no activos digitales.,0.0,Que los activos digitales no son títulos valores electrónicos sino representaciones digitales que pueden ser objeto de transacciones.,1.0 ;;;;;;;;
P026,Cómo deberían resolver sus diferencias de llegarse a presentar alguna?,,Pueden resolver sus diferencias ante los tribunales a cuya competencia se hubieran sometido en el contrato.,0.0,Pueden resolver sus diferencias a través de arbitraje pactado en el contrato suscrito o en un convenio arbitral posterior.,0.0,Pueden resolver sus diferencias ante la Defensoría del Consumidor.,0.0,Pueden resolver sus diferencias ante los tribunales a cuya competencia se hubieran sometido en el contrato o a través de arbitraje pactado en el contrato suscrito o en convencio arbitral posterior.,1.0 ;;;;;;;;
"P027,""En la escritura de constitución de una sociedad anónima, el notario debe cerciorarse de los pagos mínimos de aportes de capital de los accionistas requeridos por la ley, por medio de:"",,""Comprobante de Transferencia bancaria a favor de la sociedad por la suma de US$2,000.00"",0.0,Cheque de caja emitido a favor del Representante Legal por $100.00,0.0,Cheque Certificado a favor de la sociedad por la suma de US$100.00,1.0,""Certificado de depósito bancario a plazo fijo endosado a nombre de la sociedad por US$2,000.00"",0.0 ";;;;;;;;
"P028,""¿Cuántas reconvenciones de pago son necesarias para que el arrendatario que no ha pagado, sea constituido en mora y el documento se realice?"",,2 reconvenciones con intervalo de 1 semana y en acta notarial,0.0,1 sola reconvención por medio de diligencias de jurisdicción voluntaria iniciadas por el arrendante,0.0,2 reconvenciones en acta notarial con intervalo de al menos 4 días,1.0,""Al notario no le compete, solo se puede hacer judicialmente"",0.0 ";;;;;;;;
P029,¿En qué inconvenientes incurren las sociedades cuya finalidad es limitada a una o pocas actividades?,,Caen en situación de irregularidad,0.0,Es nula,0.0,La sociedad comete actos ilícitos,0.0,Limitan su personalidad jurídica a lo establecido por la finalidad,1.0 ;;;;;;;;
"P030,¿Es posible constituir un tipo híbrido de sociedad entre sociedad de responsabilidad limitada y la sociedad anónima?,,""Sí, la misma sociedad de responsabilidad limitada es un tipo híbrido"",0.0,""Sí, nuestra ley establece el principio de libre formación"",0.0,""No, la ley no establece el principio de libre formación"",1.0,""No, porque está expresamente prohibido por la ley"",0.0 ";;;;;;;;
"P031,""En caso de pérdida de los registros de contabilidad, archivos y documentos legales, el contribuyente debe realizar lo siguiente:"",,Informar a la Administración Tributaria dentro de los cinco días siguientes,1.0,Solicitar le extienda nuevos documentos,0.0,Informar e interponer a la Policía Nacional Civil y posteriormente a la administración Tributaria,0.0,Informar e interponer la denuncia ante la Fiscalía General de la República,0.0 ";;;;;;;;
P032,¿Qué tipo de poder debe otorgarse a un abogado para que interponga una demanda en nombre y representación de una sociedad en un juicio contencioso administrativo?,,Poder especial,0.0,Poder general administrativo,0.0,Poder general judicial,1.0,Poder general con cláusula especial,0.0 ;;;;;;;;
"P033,¿Qué debe hacer el notario cuando el compareciente no sabe firmar?,,Requerir la presencia de un testigo,0.0,Firmar el notario en nombre del compareciente.,0.0,""Hacer constar la circunstancia, obtener una impresión dactilar y hacer firmar a ruego"",1.0,Explicarle que no puede otorgar el instrumento porque es incapaz.,0.0 ";;;;;;;;
P034,Los conflictos de leyes pueden resolverse por:,,Principio de Temporalidad,0.0,Principio de Especialidad,0.0,Principio de Jerarquía,0.0,Todos los demás literales son correctos,1.0 ;;;;;;;;
"P035,En el caso del Art. 21 de la Ley de Notariado ¿Puede el notario asentar la razón de cierre en una hoja de papel común?,,Sí,0.0,No,1.0,""Sí, previa autorización del Jefe de la Sección del Notariado"",0.0,""Sí, pero previa autorización de la Corte en Pleno"",0.0 ";;;;;;;;
"P036,""El Juez competente para conocer sobre la reposición del Libro de Protocolo, extraviado en la Playa el Tunco es:"",,Juez de Paz,0.0,Juez de lo Civil,1.0,Juez de Extinción de Dominio,0.0,Juez de Familia,0.0 ";;;;;;;;
"P037,""Una persona desea establecer el estado en que se le ha dejado un inmueble que había dado en arrendamiento, y requiere sus servicios de notario para dar fe de ello, el notario deberá otorgar:"",,Una escritura pública,0.0,Un acta notarial,1.0,Una legalización de firma del documento que le presente la persona,0.0,Un documento privado autenticado,0.0 ";;;;;;;;
P038,¿Qué requisitos debe cumplir una copia de microfilm para tener valor probatorio?,,Sólo los originales poseen valor probatorio,0.0,Debe estar certificado por notario,1.0,Los microfilms carecen de valor probatorio,0.0,Debe corroborar su contenido dos testigos,0.0 ;;;;;;;;
"P039,¿Es el notario un funcionario público?,,""No, es un delegado del Estado"",0.0,""Si, ya que actúa dando fe pública"",0.0,Es un profesional imparcial e independiente,0.0,""Si, es un servidor público"",1.0 ";;;;;;;;
"P040,""Las infracciones en que incurre un Notario y que produce nulidad del instrumento, serán sancionados con:"",,""Multa, responsabilidad por daños e inhabilitación"",1.0,Suspensión y multa,0.0,Responsabilidad de daños y suspensión,0.0,No se le aplica ninguna sanción,0.0 ";;;;;;;;
P041,El número de testigos requeridos que debe otorgarse en el caso de acta de legalización de cubierta de testamento cerrado es de:,,Siete,0.0,Dos,0.0,tres,0.0,Cinco,1.0 ;;;;;;;;
"P042,""Usted es Notario varón. ¿Vale una compraventa otorgada ante sus oficios, a favor del único hijo varón de la única hija mujer que tuvo su abuelita materna?"",,""Si, pues ese parentesco va más allá de los grados y líneas prohibidos"",0.0,""No, porque está otorgada a favor de mí mismo"",1.0,""No, porqué está otorgada a favor de mi hermano"",0.0,""Si, pues una compraventa no produce provecho"",0.0 ";;;;;;;;
"P043,""Aparecer en la nómina de Notarios publicada, es indispensable para ejercer válidamente el Notariado"",,""Así es, pues esa es la razón por la que se publica"",0.0,No necesariamente. Lo requerido es estar autorizado,1.0,En la práctica basta haber pagado la publicación,0.0,""No, porque esas nóminas han dejado de publicarse"",0.0 ";;;;;;;;
"P044,""¿A qué hace referencia la frase """"edad media""""?"",,A la edad mínima que se necesita para casarse.,0.0,A un trámite administrativo que sirve para determinar la edad que tiene un adolescente sujeto a la ley penal juvenil.,0.0,""Es la misma """"calificación de edad"""", como requisito previo sin el cual no podría casarse un menor de 18 años."",0.0,""Es cuando el Notario nombra a un médico como perito para que determine la edad de un novio(a) que quiere casarse, pero no tiene asentada partida de nacimiento."",1.0 ";;;;;;;;
"P045,""Luis es codueño junto a 2 personas más, de un lote que tiene 30 metros a orilla de la calle, por 30 metros de profundidad. ¿Puede vender válidamente y a cuerpo cierto una faja de 10 por 30?"",,No. Antes de vender a cuerpo cierto tiene que hacerse la partición necesariamente.,0.0,""Si puede, siempre y cuando comparezcan los otros codueños en la misma escritura de compraventa que se otorgue, vendiendo también."",1.0,""No, ni aún con el consentimiento de los otros codueños. Lo único que puede vender es su derecho proindiviso o una cuota menor de dicho derecho."",0.0,""Si, siempre y cuando haga una segregación simple con su respectivo plano debidamente aprobado, aunque los otros codueños no estén de acuerdo."",0.0 ";;;;;;;;
"P046,En que supuestos deberá el Notario proceder a redactar la razón de cierre de su libro de protocolo:,,Cuando se agotan las hojas de un libro de protocolo,0.0,Cuando se haya utilizado el libro y termine el año de su vigencia,0.0,""En caso de destrucción, extravió o inutilización parcial del libro de protocolo."",0.0,Todas las anteriores.,1.0 ";;;;;;;;
"P047,""Ante un Notario se presenta una persona y le pide certifique, en base al Art. 30 LENJVydeOD, una escritura pública de Mutuo que le fue enviada por FAX desde Houston Texas. ¿Puede hacerlo el Notario?"",Art. 30 LENJVydeOD,""Si, pero debe asegurarse de dar fe de que se trata de un FAX, o sea, de una reproducción que salió de un aparato electrónico y cuyo original está en otro lugar"",0.0,""Si, para cualquier efecto que no sea presentar esa fotocopia en juicio para reclamar el derecho que dicho contrato acredita"",0.0,""No, porque se trata de un Mutuo y los mutuos son la base de un juicio ejecutivo"",0.0,""No, porque para aplicar el Art. 30 relacionado, el Notario debe tener a la vista el documento original"",1.0 ";;;;;;;;
P048,El abogado que ejerciere el notariado teniendo alguna incompatibilidad para ello en razón del cargo que desempeña será penado con:,,Una multa de quinientos a mil colones por cada infracción,0.0,Nulidad absoluta de los instrumentos que autorice,0.0,Deberá responder por los daños y perjuicios ocasionados,0.0,Todas las Anteriores.,1.0 ;;;;;;;;
"P049,¿Es válido dicho acto?,,""Sí, este acto genera actos operativos"",0.0,""Sí, porque si el notario cobra lo puede hacer la alcaldía"",0.0,""No, es una práctica abusiva"",0.0,""No, porque estas diligencias estas basadas en el principio de gratuidad"",1.0 ";;;;;;;;
"P050,""De acuerdo a la regulación normativa establecida en el Código Procesal Civil y Mercantil, el perito es:"",Código Procesal Civil y Mercantil,Un medio de prueba,0.0,Un auxiliar del juez para la valoración de los hechos alegados por las partes,1.0,Un testigo cualificado,0.0,Una fuente probatorio sui generis,0.0 ";;;;;;;;
P051,El poder especial para recibir emplazamiento exige:,,Que en la escritura pública se establezca expresamente que se confiere al apoderado la facultad de recibir emplazamientos,1.0,Que en la escritura pública se establezca expresamente la facultad para recibir emplazamiento e igualmente se manifieste expresamente el caso que genera dicho emplazamiento,0.0,Basta con que en la escritura pública se exprese que el apoderado puede recibir actos de comunicación procesal,0.0,Que en la escritura pública se establezca expresamente la facultad de recibir emplazamiento y se identifique el proceso al que se refiere.,0.0 ;;;;;;;;
"P052,¿Qué es el Protocolo?,,El que se forma con hojas de papel sellado,0.0,""El que se forma en cantidad no menor de veinticinco hojas, debidamente foliadas con letras y números en la esquina superior derecha de sus frentes"",0.0,""El libro donde el notario asentará los actos, contratos y declaraciones que ante sus oficios se otorguen, salvo los exceptuados por la ley."",0.0,""El que está constituido por Libros numerados correlativamente respecto de cada notario, que serán formados, legalizados y llevados sucesivamente."",1.0 ";;;;;;;;
"P053,¿Podría revocarse ese poder?,,""No, ya que es un acto especifico"",0.0,""No, porque dicho acto no tiene trascendencia jurídica"",0.0,""Sí, porque no se concretizan los objetivos del matrimonio"",0.0,""Sí, porque existe un desistimiento expreso por parte de una de las partes"",1.0 ";;;;;;;;
"P054,""Como registrador Mario recibe varias delimitaciones de un derecho proindiviso al mismo tiempo, y eso le da la sospecha que en realidad están haciendo lotes. ¿Qué debe hacer Mario?"",,Informar al Ministerio de obras públicas o la Alcaldía municipal de que se está haciendo una lotificación.,0.0,Observar la inscripción e informar a la Alcaldía Municipal,0.0,Inscribir ya que una sospecha no es suficiente para detener el trámite.,0.0,Denegar la inscripción fundamentando su sospecha e informar al ministerio de vivienda.,1.0 ";;;;;;;;
P055,¿Cuál no es un derecho real?,,Servidumbre,0.0,Herencia,0.0,Anticresis,1.0,Habitación,0.0 ;;;;;;;;
"P056,""Juan tiene un derecho proindiviso del 5.51% sobre un inmueble general de 10,000.00 metros cuadrados, y desea delimitar tres porciones de 4,000.00 m2 cada una. ¿Qué asesoría puede darle?"",,Le recomiendo que delimite en una misma diligencia las tres porciones de una vez.,1.0,Le recomiendo que únicamente puede delimitar una porción por ser equivalente a su derecho.,0.0,""Le recomiendo que haga tres diligencias, una por cada porción."",0.0,Le recomiendo que haga una partición en este caso.,0.0 ";;;;;;;;
"P057,El otorgamiento de poder para procurar en el proceso civil y mercantil es un acto solemne,,""No, porque puede otorgarse verbalmente"",0.0,""No, porque el contrato de mandato es consensual"",0.0,""Si, porque siempre se exige su documentación formal"",0.0,""Si, porque se requiere de escritura pública"",1.0 ";;;;;;;;
"P058,""Entregar documentos relativos al control del La Ley de Impuesto a la Transferencia de Bienes Muebles y a la Prestación de Servicios, haciendo constar una operación que no se realizó o que habiéndose realizado se hagan constar cuantías y datos diferentes a los reales, es constitutivo del delito de evasión de impuestos."",,""Verdadero, porque así se regula en el Código Penal"",0.0,""Verdadero, la conducta se adecua al tipo en mención"",0.0,""Falso, es una sanción administrativa"",0.0,Falso. Es una conducta propia de la falsedad ideológica.,1.0 ";;;;;;;;
"P059,""Es la copia fiel o literal, total o parcial de la escritura matriz, que con las formalidades legales expide el Notario, con autorización para ello:"",,Certificación literal,0.0,Certificación extractada,0.0,Testimonio de Escritura Pública,0.0,Ninguna de las anteriores,1.0 ";;;;;;;;
"P060,""Es correcto que un juez de instrucción, en un proceso por el delito de falsedad material de una escritura matriz, autorice al fiscal al secuestro del libro de protocolo que aún está en poder del notario."",At. 74 CPP,""Sí, por está dentro de sus facultades At. 74 CPP"",0.0,""Sí, es orden judicial y debe cumplirse"",0.0,""Si, debe evitarse caer en el delito de desobediencia a mandato judicial"",0.0,""No, debe acudirse a la Sección de Notariado a efecto de requerir el protocolo y practicar las diligencias en esa sede institucional"",1.0 ";;;;;;;;
"P061,""En el caso de no poder determinar la titularidad de un bien en un matrimonio, ¿Cuál es la presunción que será utilizada para resolver este problema?"",,Presunción de gratuidad,0.0,Presunción de Inocencia,0.0,Presunción Legal,0.0,Presunción de Copropiedad,1.0 ";;;;;;;;
"P062,""A usted como abogado que se realiza examen de suficiencia para optar al cargo de Juez de Instrucción y, siendo preguntado, sobre si el actor civil en un proceso penal, debe demandar bajo las formalidades del proceso civil y mercantil o existe disposición expresa a partir de la cual debe actuar  por lo que usted responde:"",,""Si, dada la subsidiariedad establecida en el Art. 20 CPCM"",0.0,Es obvio que debe ceñirse a lo dispuesto en el Art. 276 CPCM,0.0,""Independientemente, puede optar por las reglas de la demanda o de la acusación"",0.0,""Existe regulación expresa en el Código Procesal Penal, por lo que debe regirse por estas reglas."",1.0 ";;;;;;;;
"P063,""Ante sus oficios notariales comparece el abogado Roberto Pérez como apoderado general judicial de María Félix, le expresa que en tal calidad, comprará un inmueble a favor de su poderdante, usted como notario ¿celebraría el contrato de compraventa?"",,""Si lo celebraría, ya que el artículo 69 del CPCM expresa que el poderdante, al otorgar este tipo de poder le faculta al apoderado para realizar válidamente, en su nombre, todos los actos que solicite este le solicite."",0.0,""No lo celebraría, ya que necesita clausula especial para este tipo de actos, o que el poder sea especialmente para ese acto."",1.0,""No lo celebraría, ya que únicamente con poder especial puede el apoderado realizar una compraventa a favor del poderdante."",0.0,""Si lo celebraría, pero dejando constancia que el apoderado comparece mediante poder general judicial."",0.0 ";;;;;;;;
